T,V
A,0.9897146824080941
AA,0.8142076581973258
AAC,1.0731707577097396
AACG,1.3301887195617057
AADI,0.4959046683599415
AAIC,1.4412697855247079
AAIN,0.9958645295607577
AAL,1.3040345988641795
AAMC,5.142142153035806
AAME,0.7509727617434837
AAN,0.9472999692925554
AAOI,3.9673204478217814
AAON,1.6875660752878021
AAP,0.38917227743058425
AAPL,1.359564919702723
AAT,0.6460932664705132
AAU,0.5822726980245801
AB,0.7804877959788238
ABBV,0.877086993638751
ABC,1.356833125288522
ABCB,0.8488964440600038
ABCL,0.634874766852817
ABCM,1.5910585603054166
ABEO,1.0563725547486202
ABEV,1.2421875538420875
ABG,1.3447888259554768
ABIO,0.8127489918741059
ABM,0.9962555616867265
ABNB,1.379508054362894
ABOS,1.0442105343467312
ABR,1.099342633457808
ABSI,0.44476742614534137
ABST,1.2759776893483101
ABT,0.9809697916470348
ABUS,0.7881944065016744
ABVC,0.5195098277542606
AC,0.9611624031225401
ACA,1.655687998607367
ACAB,1.0420841779116787
ACAD,1.5717091866750905
ACAQ,1.0844577968379192
ACB,0.4265441130903457
ACBA,1.088349498112697
ACBAU,1.060311274480927
ACCD,1.4671857526357586
ACCO,0.82317075342525
ACDC,0.6707746297572339
ACEL,0.961156335740234
ACER,0.6968147984819978
ACET,0.17444090003945104
ACGL,1.6649414975296744
ACGLN,0.9835306387134242
ACGLO,1.0056359644316277
ACGN,0.2219251286615659
ACHC,1.1018505553789246
ACHL,0.3715415052354553
ACHR,1.3557692866118487
ACHV,1.0223124010840936
ACI,0.8157110703477879
ACIU,0.843478274090003
ACIW,0.8882958308688566
ACLS,3.7051989463813766
ACLX,1.6514675238406085
ACM,1.3444166166446327
ACMR,0.9445859938771678
ACN,1.1301013411563852
ACNB,1.0681600341796875
ACNT,0.6741237930437103
ACON,0.7977426657525494
ACOR,1.2704081190769405
ACP,0.9062087157137871
ACR,1.0477326507240698
ACRE,0.8104000091552734
ACRO,1.0464397092287234
ACRS,0.7107943375699005
ACRX,0.21800000667572023
ACST,0.6141176472238191
ACT,1.1962790378304415
ACTG,0.8613444763627024
ACU,0.7906388151951138
ACV,0.9810955208185309
ACVA,2.4081041616636716
ACXP,0.7264957148845262
ADAG,0.7386934781736179
ADAP,0.5618072530811113
ADBE,1.2887726208949726
ADC,0.9059147644426964
ADCT,0.24293785341175086
ADD,0.2868749832361943
ADEA,2.7630839655124286
ADER,1.094791444134573
ADES,0.39406781715759176
ADEX,1.0670091550794751
ADI,1.358286096894319
ADIL,0.16031008139129999
ADM,1.0600995615996684
ADMA,1.7230046380806163
ADMP,0.06361185962694933
ADN,0.22727272727272727
ADNT,1.325857969865577
ADP,1.0294145337239855
ADPT,0.734065884430188
ADRT,1.0911824491810058
ADSE,0.9015256540373822
ADSK,1.1514980439594602
ADT,0.9669811267706796
ADTH,0.407132243948189
ADTN,0.5873543954122925
ADTX,0.06474820150054826
ADUS,1.067184365548817
ADV,0.5579195944336532
ADVM,1.3448275755758656
ADX,1.0874035745502086
ADXN,0.4837499863406028
AE,1.1582258437224173
AEAE,1.0457516277192904
AEE,0.9415842764582579
AEF,0.9613259586029812
AEFC,0.9894893141846612
AEG,1.2555282353780586
AEHL,0.8110378023923731
AEHR,6.1701535854562675
AEI,0.2999999957425253
AEIS,1.5231126718165773
AEL,1.4016793761254493
AEM,1.1093544014518968
AEMD,0.34633662768011403
AENT,0.279069756789915
AEO,1.0481099183354943
AEP,0.9117332552403373
AEPPZ,0.9399660141232375
AER,1.601458332753823
AES,0.994806392409509
AESC,0.9485588476931661
AEVA,0.3628048986586556
AEY,0.5119999885559082
AEYE,0.6874051752532084
AEZS,0.5211618968418666
AFAR,1.0633165956299095
AFB,0.9349872281875138
AFBI,0.8326530564581042
AFCG,0.807051272097581
AFG,0.8627861642774417
AFGB,1.0179226292354988
AFGC,0.9764385833731742
AFGD,1.0187873839720005
AFGE,0.9432049203406262
AFIB,1.02181399997468
AFL,1.2642291401780994
AFMD,0.20333333810170492
AFRI,1.235426049720644
AFRM,0.8129097781771807
AFT,1.0140624491265051
AFTR,1.066941258082046
AFYA,1.4528498458012338
AG,0.8425656118533096
AGAC,1.078651732458018
AGAE,0.7260273390984904
AGBA,0.12764085312550397
AGCO,1.3740678959241839
AGD,1.0224598962116793
AGE,1.0722857044813583
AGEN,0.6426887566348384
AGFY,0.009086294324553656
AGI,1.718528900074291
AGIL,0.14793036766450143
AGIO,1.1072691340037908
AGL,0.7084731242258396
AGLE,0.9115307728221791
AGM,1.4803520451805057
AGMH,1.0
AGNC,0.8587425117876532
AGNCM,1.1069836448874035
AGNCN,1.1191733077879462
AGNCO,1.058218027799652
AGNCP,1.0401387241671465
AGO,0.9974720226264308
AGR,0.8271631338309403
AGRI,0.09909909728498162
AGRO,1.1660515877973325
AGRX,0.09031296692378826
AGS,1.0719696254742295
AGTI,0.7356009013411992
AGX,1.077461028630339
AGYS,1.3648187969222256
AHCO,0.6493224415632857
AHG,0.29862385456554613
AHH,0.9044342502071033
AHI,2.456896540207188
AHT,0.6416000366210938
AI,1.8683948424759136
AIF,1.0524590453547968
AIG,1.133189857546091
AIH,0.4353448360024397
